title,views,date_time,likes,video_link,description
Building the Gradient Descent Algorithm in 15 Minutes | Coding Challenge,48K views,1 year ago,1.4K,https://www.youtube.com/watch?v=Souzjv6WfrY,"What's happening guys, welcome to the second episode of CodeThat!

In this ep I try to build a regression machine learning model using a gradient descent algorithm we build completely from scratch using Python. T"
Building a Machine Learning API in 15 Minutes | Coding Challenge,102K views,1 year ago,3.2K,https://www.youtube.com/watch?v=C82lT9cWQiA,"What's happening guys, welcome to the first episode of CodeThat!

In this ep I try to build a machine learning API at freaking light speed using Python, FastAPI and Scikit-Learn AND DEPLOY it using Heroku. Hope "
Data Scientist answers Your DEEPEST Questions | Data Science AMA,2.2K views,1 year ago,112,https://www.youtube.com/watch?v=ymF9xq7xIug,"Just answering some of your questions! Part two to come soon, see ya on the live stream.

"
Reinforcement Learning for Gaming | Full Python Course in 9 Hours,57K views,1 year ago,2K,https://www.youtube.com/watch?v=dWmJ5CXSKdw,"Ever wanted to learn how to apply ML to games?

Here ya go!"
AI DREW all of THESE | DALLE-2 Walkthrough,5K views,1 year ago,129,https://www.youtube.com/watch?v=-MX5C_e5Ytk,"Ever wondered what DALLE2 can generate, well in this video I'm going to walk you through just what's possible. We'll generate using prompts as well as performing in painting. 
"
Build a Virtual Agent in 15 minutes with Watson Assistant Actions | Chatbot Tutorial,16K views,1 year ago,297,https://www.youtube.com/watch?v=0sgjH5NWbNw,"Ever wanted to build your own virtual agent?

Not too sure where to start?"
Unboxing the M1 Max for Data Science Work,8.4K views,1 year ago,198,https://www.youtube.com/watch?v=Aso895pvii0,"Sup team!

Finally got the new work macbook pro delivered and wanted to do a quick unboxing video. Let me know what you think. Also walk through a little"
MACHINE LEARNING Battlestation Breakdown,5.9K views,1 year ago,212,https://www.youtube.com/watch?v=GH1RuKguO54,"Wondered where I make all those ML tutorials? Well, this is it! 

I wanted to give you a runthrough of my machine learning and data science battlestation, this is where the magic happens. I go through all the st"
Build a Chrome Dino Game AI Model with Python | AI Learns to Play Dino Game,28K views,1 year ago,754,https://www.youtube.com/watch?v=vahwuupy81A,"Learn to build a custom reinforcement learning model for gaming...in this case for web games like the Google Chrome Dino game with Python and Deep Learning.
"
"How I stay MOTIVATED when learning DEEP TECH (coding, ML & data science)",7.9K views,1 year ago,512,https://www.youtube.com/watch?v=ilrHB5tD15g,"A few of y’all were asking how I stay motivated when learning hardcore tech stuff. I’m sharing a bunch of the concepts that have helped me along the way and those that continue to help me along my journey of learning data science, machine learning and deep learning. 
"
Build a Generative Adversarial Neural Network with Tensorflow and Python | Deep Learning Projects,110K views,1 year ago,2.7K,https://www.youtube.com/watch?v=AALBGpLbj6Q,Want to get your hands dirty building a deep learning powered GAN with Python? Well in this video you’ll learn everything involved to do it from scratch using Python and Tensorflow. You’ll learn how to build your very own Generative Adversarial Neural Network to generate new synthetic datasets. 
Singapore DATA SCIENCE Day in the Life | First work TRIP post lockdown,6.3K views,1 year ago,290,https://www.youtube.com/watch?v=TW5WuaSyKjY,"First work trip post lockdown! Wanted to share a data science day in the life when I’m travelling and what I got up to whilst meeting my new team for the first time. Plenty of coding tips and travel tricks to try to stay productive while you're on the road.
"
Uncover what Deep CNNs are doing with Python and Tensorflow,12K views,1 year ago,564,https://www.youtube.com/watch?v=Zanrd7IzZLM,"Learn how to visualize the outputs of intermediate CNN layers. This helps a ton to see how your computer vision models are making predictions. 
"
MACHINE LEARNING Resources I use EVERYDAY (and you can too!),11K views,1 year ago,741,https://www.youtube.com/watch?v=kKZFmklDSXs,"Figured I'd share a bunch of resources I use in my day to day life to learn all things machine learning and data science!

Chapters"
Build a Deep Iris Detection Model using Python and Tensorflow | Keypoint Detection,35K views,1 year ago,778,https://www.youtube.com/watch?v=qpFrg4gN4Mg,"Learn how to build an Iris Tracking model using Keypoint Detection with Tensorflow and Python!

Get the code here: https://github.com/nicknochnack/IrisD..."
Build a Deep Face Detection Model with Python and Tensorflow | Full Course,169K views,1 year ago,3.8K,https://www.youtube.com/watch?v=N_W4EYtsa10,"Learn how to build a face detection model using an Object Detection architecture using Tensorflow and Python! 

Get the code here: https://github.com/nicknochnack/FaceD..."
Build a Comment Toxicity Model with Deep Learning and Python,45K views,1 year ago,1.2K,https://www.youtube.com/watch?v=ZUqB-luawZg,The internet can be a mean and nasty place...but it doesn't need to be! Learn how to spot and detect toxic comments using deep learning and Python. The dataset leveraged is originally from Kaggle but you could sub this out for your own data plus I'll show you how to make predictions from raw strings as well!
Build a Deep CNN Image Classifier with ANY Images,410K views,1 year ago,9.4K,https://www.youtube.com/watch?v=jztwpsIzEGc,"Get the Code https://github.com/nicknochnack/Image...

So...you wanna build your own image classifier eh? Well in this tutorial you're going to learn how to do exactly that...FROM SCRATCH "
Getting Started with Python Deep Learning for Beginners,137K views,1 year ago,3K,https://www.youtube.com/watch?v=19LQRx78QVU,"Not too sure where or how to start?

In this video, you'll learn how to setup your machine and begin using some of the most common tools and libraries when it comes to "
Build a Deep Audio Classifier with Python and Tensorflow,122K views,1 year ago,3.2K,https://www.youtube.com/watch?v=ZLIPkmmDJAc,"In this tutorial, you'll learn how to build a Deep Audio Classification model with Tensorflow and Python!

Get the code: https://github.com/nicknochnack/DeepA..."
7 Key Skills You NEED to Stand Out in Data Science,6K views,1 year ago,326,https://www.youtube.com/watch?v=bNi8RMQ-g6A,"Any others you can think of?

Oh, and don't forget to connect with me!"
Deep Fake Images and Video with SimSwap,57K views,1 year ago,1K,https://www.youtube.com/watch?v=IHLwjiBmf-g,"Get the Notebook: https://github.com/nicknochnack/SimSwap

Learn to apply face swapping technology to images and video using the SimSwap model made available on Github! In this tutorial yo"
Bringing OLD IMAGES back to life with DEOLDIFY AI and Python,17K views,1 year ago,623,https://www.youtube.com/watch?v=0iZdzWG1-NY,"Get the code: https://github.com/jantic/DeOldify
Get the model here: https://data.deepai.org/deoldify/Colo...
"
Upscale your Images using DEEP SUPER RESOLUTION with ESRGAN,86K views,1 year ago,2.1K,https://www.youtube.com/watch?v=67hqsP7fhvQ,"Get the code: https://github.com/xinntao/ESRGAN

Learn to use ESRGAN and Python to enhance the resolution of your images by up to four times the size. In this tutorial we'll keep it pr"
I made OD bots for Gaming in 30 MINUTES,18K views,1 year ago,554,https://www.youtube.com/watch?v=0efnQCHbsyE,"Well...I tried to lol. 

Get the code: https://github.com/nicknochnack/GameO..."
Build a Street Fighter AI Model with Python | Gaming Reinforcement Learning Full Course,43K views,1 year ago,1.1K,https://www.youtube.com/watch?v=rzbFhu6So5U,"Yeah, I don’t know if anyone actually reads this. But if you do, here’s some stuff for ya!

In this tutorial, you'll learn how to: "
Build a Deep Q&A Web App with Transformers and Anvil | Python Deep Learning App,14K views,1 year ago,500,https://www.youtube.com/watch?v=G1uGSkANZjQ,"Thanks to Anvil for sponsoring this video! Check out the link below to get started https://anvil.works/nicholasrenotte 

In this video you’ll learn how to build your very own deep learning powered Q&A app. "
Capture Timberman Footage with Python and OpenCV | Gaming Computer Vision,7.3K views,1 year ago,281,https://www.youtube.com/watch?v=2VP9nOWiJ04,"Learn how to capture game footage for computer vision using OpenCV and Python. 

In this tutorial, you'll learn how to: "
Build a Doom AI Model with Python | Gaming Reinforcement Learning Full Course,37K views,1 year ago,1K,https://www.youtube.com/watch?v=eBCU-tqLGfQ,"Teach AI to play Doom

In this video you'll learn how to:"
Build an Mario AI Model with Python | Gaming Reinforcement Learning,134K views,2 years ago,3.4K,https://www.youtube.com/watch?v=2eeYqJ0uBKE,"Teach AI to play Super Mario

In this video you'll learn how to:"
Detect Edges with OpenCV and Python | Computer Vision Tutorial,24K views,2 years ago,620,https://www.youtube.com/watch?v=6cXV8dhNu50,"Welcome to the OpenCV Basics series. In this series, we'll be going through all the basics of OpenCV from the ground up.

In this video you'll learn how to:"
Build a TikTok Data Science App with Streamlit and Python | Data Science Project,44K views,2 years ago,1.2K,https://www.youtube.com/watch?v=E6B3uWF-V7w,"Build some slick Streamlit dashboards using TikTok Data and Python.

In this video you'll learn how to:"
AI Learns to Do Deadlifts,29K views,2 years ago,1K,https://www.youtube.com/watch?v=H7cGq0xIHbc,"I built a deadlift bot using AI. 

Oh, and don't forget to connect with me!"
Accessing USB Devices and Webcams with OpenCV and Python,74K views,2 years ago,1.3K,https://www.youtube.com/watch?v=FygLqV15TxQ,"Welcome to the OpenCV Basics series. In this series, we'll be going through all the basics of OpenCV from the ground up.

In this video you'll learn how to:"
"Reading, Transforming and Exporting Videos using OpenCV and Python",23K views,2 years ago,604,https://www.youtube.com/watch?v=mEzBnhJPUjc,"Welcome to the OpenCV Basics series. In this series, we'll be going through all the basics of OpenCV from the ground up. In this first video you'll learn how to get up and running with OpenCV. 
"
Build a Python Facial Recognition App with Tensorflow and Kivy,141K views,2 years ago,3.6K,https://www.youtube.com/watch?v=LKispFFQ5GU,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
Build a Deep Facial Recognition App // Part 8 - Kivy Computer Vision App with OpenCV and Tensorflow,29K views,2 years ago,487,https://www.youtube.com/watch?v=43eAC1LMrsU,"Ever wanted to implement facial recognition or verification into your application?

In this series you'll learn how to build a deep facial recognition application to authenticate into an application. You'll start off by buildi"
"How to Read, View and Export Images using OpenCV for Python // OpenCV for Beginners",11K views,2 years ago,310,https://www.youtube.com/watch?v=6yA5S9B2Z60,"Wassup! Welcome to the OpenCV Basics series. In this series, we'll be going through all the basics of OpenCV from the ground up. In this first video you'll learn how to get up and running with OpenCV. 
"
How to Install OpenCV for Python // OpenCV for Beginners,38K views,2 years ago,609,https://www.youtube.com/watch?v=M6jukmppMqU,"Wassup! Welcome to the OpenCV Basics series. In this series, we'll be going through all the basics of OpenCV from the ground up. In this first video you'll learn how to get up and running with OpenCV. 
"
Build a Conversation Agent using Facebook's Blenderbot and #Python,Build a Conversation Agent using Facebook's Blenderbot and , ,291,https://www.youtube.com/watch?v=FfywuRCPmqY,"Ever wanted to talk to a real life AI model? 

Well using Blenderbot you can...and it's NOT even that hard. "
